timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-21,397.48,399.62,397.27,399.53,399.53,2996601,0.0000,1.0
2021-07-20,391.345,397.5,390.01,396.2,396.2,4043076,0.0000,1.0
2021-07-19,391.78,392.26,387.93,390.68,390.68,12336206,0.0000,1.0
2021-07-16,400.84,400.88,396.14,396.61,396.61,4516552,0.0000,1.0
2021-07-15,399.74,400.38,397.805,399.72,399.72,4483895,0.0000,1.0
2021-07-14,402.06,402.57,399.82,401.01,401.01,3332211,0.0000,1.0
2021-07-13,401.08,402.5,400.18,400.46,400.46,4313092,0.0000,1.0
2021-07-12,400.3,402.03,399.87,401.82,401.82,2929163,0.0000,1.0
2021-07-09,397.63,400.65,397.42,400.37,400.37,3332168,0.0000,1.0
2021-07-08,394.2,396.88,393.02,396.19,396.19,5817105,0.0000,1.0
2021-07-07,398.67,399.66,396.68,399.37,399.37,4747830,0.0000,1.0
2021-07-06,398.77,398.99,395.3,398.0,398.0,4331346,0.0000,1.0
2021-07-02,396.85,399.05,396.525,398.75,398.75,4363111,0.0000,1.0
2021-07-01,394.3,395.85,394.2062,395.74,395.74,3414515,0.0000,1.0
2021-06-30,392.72,394.131,392.72,393.52,393.52,3795925,0.0000,1.0
2021-06-29,393.35,393.94,392.66,393.16,393.16,2927626,1.3329,1.0
2021-06-28,394.03,394.45,392.83,394.32,392.987684189,2418472,0.0000,1.0
2021-06-25,392.9,393.92,392.54,393.5,392.170454779,2863066,0.0000,1.0
2021-06-24,391.89,392.5185,391.67,392.05,390.725353992,2987820,0.0000,1.0
2021-06-23,390.35,391.14,389.7,389.82,388.502888645,2404155,0.0000,1.0
2021-06-22,388.24,391.09,387.47,390.24,388.921469563,2705442,0.0000,1.0
2021-06-21,384.5,388.38,383.65,388.18,386.868429825,4389779,0.0000,1.0
2021-06-18,384.79,385.38,382.52,382.82,381.526540021,5211110,0.0000,1.0
2021-06-17,387.62,388.91,385.5,387.97,386.659139366,4065333,0.0000,1.0
2021-06-16,390.4186,390.58,386.02,388.11,386.798666338,4100221,0.0000,1.0
2021-06-15,391.15,391.2,389.4099,390.25,388.931435775,2405039,0.0000,1.0
2021-06-14,390.21,391.07,389.0,391.07,389.748665185,2252205,0.0000,1.0
2021-06-11,390.0,390.2,388.73,390.09,388.771976378,2241500,0.0000,1.0
2021-06-10,388.86,390.3597,387.58,389.41,388.09427394,2611815,0.0000,1.0
2021-06-09,389.08,389.13,387.41,387.62,386.310321935,2968089,0.0000,1.0
2021-06-08,389.0,389.08,386.44,388.23,386.918260886,2386617,0.0000,1.0
2021-06-07,388.52,388.69,387.25,388.17,386.858463612,2500620,0.0000,1.0
2021-06-04,386.81,388.8,386.76,388.5,387.187348619,2628143,0.0000,1.0
2021-06-03,384.17,386.11,382.7,385.01,383.709140519,3390955,0.0000,1.0
2021-06-02,386.45,387.24,385.47,386.48,385.17417373,3209191,0.0000,1.0
2021-06-01,388.5,388.62,385.38,385.83,384.52636993,4389042,0.0000,1.0
2021-05-28,387.03,387.27,385.94,386.13,384.825356299,3371117,0.0000,1.0
2021-05-27,386.2816,386.78,385.32,385.38,384.077890375,3015864,0.0000,1.0
2021-05-26,385.09,385.75,384.07,385.21,383.908464766,2642705,0.0000,1.0
2021-05-25,386.4,386.76,383.94,384.51,383.210829903,4031807,0.0000,1.0
2021-05-24,383.69,386.4,383.44,385.32,384.018093101,2962453,0.0000,1.0
2021-05-21,383.23,384.45,381.01,381.47,380.181101358,3567453,0.0000,1.0
2021-05-20,378.57,382.99,378.45,381.76,380.470121515,4776714,0.0000,1.0
2021-05-19,374.06,377.84,372.62,377.73,376.453737951,5086270,0.0000,1.0
2021-05-18,382.25,382.47,378.54,378.73,377.450359183,3128310,0.0000,1.0
2021-05-17,381.9,382.75,380.0,382.03,380.739209248,3781587,0.0000,1.0
2021-05-14,379.81,383.79,379.81,382.95,381.656100782,5167919,0.0000,1.0
2021-05-13,374.21,379.05,374.17,377.16,375.885663848,7188191,0.0000,1.0
2021-05-12,378.04,379.27,372.13,372.73,371.470631791,7707441,0.0000,1.0
2021-05-11,379.75,381.74,376.95,380.86,379.573162407,7081501,0.0000,1.0
2021-05-10,388.41,388.66,384.09,384.23,382.931775958,5942697,0.0000,1.0
2021-05-07,386.02,388.68,385.33,388.03,386.71893664,3516620,0.0000,1.0
2021-05-06,382.26,385.37,380.27,385.28,383.978228252,4737289,0.0000,1.0
2021-05-05,383.72,383.91,381.63,382.17,380.878736221,2319217,0.0000,1.0
2021-05-04,382.52,382.96,378.45,382.1,380.808972734,5485646,0.0000,1.0
2021-05-03,385.56,385.94,383.96,384.44,383.141066417,4180812,0.0000,1.0
2021-04-30,383.91,384.76,382.73,383.57,382.274005945,5219206,0.0000,1.0
2021-04-29,386.4,386.74,382.81,386.12,384.815390087,4209880,0.0000,1.0
2021-04-28,384.1,385.1692,383.24,383.56,382.264039733,3960389,0.0000,1.0
2021-04-27,384.2,384.38,382.72,383.74,382.443431555,3370642,0.0000,1.0
2021-04-26,383.73,384.45,383.32,383.86,382.563026103,3125214,0.0000,1.0
2021-04-23,379.57,384.455,379.46,383.03,381.73583048,3783209,0.0000,1.0
2021-04-22,382.32,383.115,377.96,378.99,377.709480703,3965016,0.0000,1.0
2021-04-21,378.28,382.67,378.14,382.5,381.207621227,3640080,0.0000,1.0
2021-04-20,380.49,381.16,377.465,378.94,377.659649641,4106739,0.0000,1.0
2021-04-19,382.62,383.09,380.37,381.74,380.450189091,3945743,0.0000,1.0
2021-04-16,383.558,384.15,382.19,383.63,382.333803219,3252459,0.0000,1.0
2021-04-15,380.33,382.54,380.28,382.29,380.998330768,3573828,0.0000,1.0
2021-04-14,379.46,380.51,377.7,378.23,376.952048567,3691057,0.0000,1.0
2021-04-13,378.37,380.12,377.92,379.45,378.16792647,2985533,0.0000,1.0
2021-04-12,377.7,378.65,377.0799,378.42,377.141406601,2747529,0.0000,1.0
2021-04-09,375.42,378.4,375.33,378.25,376.971980991,2627530,0.0000,1.0
2021-04-08,374.97,375.56,374.06,375.55,374.281103665,3949423,0.0000,1.0
2021-04-07,373.14,374.0797,372.72,373.73,372.467253023,2768895,0.0000,1.0
2021-04-06,373.04,374.33,372.67,373.26,371.998841044,3583491,0.0000,1.0
